-- Startup on: Thursday, May 15, 2025 11:44:16 AM --
sequence_number	time	processID	unique_processID	stack_level	operation_type	operation	operation_parameters	form_event	stack_opening_sequence_number	stack_level_execution_time
1294	2025-05-16T07:12:08.149	5	5182	0	8	68A97D3F42BFB441980DF0EEC4904A7C	Process Web	0	1283	1517529
1295	2025-05-16T07:40:12.707	5	5183	0	8	781A603A08FA0642A23E7E02E205C1C5	Process Web	0		
1296	2025-05-16T07:40:12.708	5	5183	1	2	Compiler_Web		0		
1297	2025-05-16T07:40:12.708	5	5183	2	1	604	DAX_BinaryFile	0		
1298	2025-05-16T07:40:12.708	5	5183	2	1	604	DAX_BinaryFile	0	1297	14
1299	2025-05-16T07:40:12.708	5	5183	1	2	Compiler_Web		0	1296	208
1300	2025-05-16T07:40:12.709	5	5183	1	2	Sur authentification Web	"/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php";"GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnectio...";"::1";"::1";"";""	0		
1301	2025-05-16T07:40:12.710	5	5183	1	2	Sur authentification Web	"/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php";"GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnectio...";"::1";"::1";"";""	0	1300	68
1302	2025-05-16T07:40:12.710	5	5183	1	2	Sur connexion Web	"/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php";"GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnectio...";"::1";"::1";"";""	0		
1303	2025-05-16T07:40:12.710	5	5183	2	1	494		0		
1304	2025-05-16T07:40:12.710	5	5183	2	1	494		0	1303	2
1305	2025-05-16T07:40:12.710	5	5183	1	2	Sur connexion Web	"/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php";"GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnectio...";"::1";"::1";"";""	0	1302	74
1306	2025-05-16T07:40:13.724	5	5183	0	8	781A603A08FA0642A23E7E02E205C1C5	Process Web	0	1295	1016742
1307	2025-05-16T08:15:55.317	5	5184	0	8	790EB95978DCF348B3DC7B915FB38DDE	Process Web	0		
1308	2025-05-16T08:15:55.318	5	5184	1	2	Compiler_Web		0		
1309	2025-05-16T08:15:55.318	5	5184	2	1	604	DAX_BinaryFile	0		
1310	2025-05-16T08:15:55.318	5	5184	2	1	604	DAX_BinaryFile	0	1309	16
1311	2025-05-16T08:15:55.318	5	5184	1	2	Compiler_Web		0	1308	151
1312	2025-05-16T08:15:55.319	5	5184	1	2	Sur authentification Web	"/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php";"GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnectio...";"::1";"::1";"";""	0		
1313	2025-05-16T08:15:55.319	5	5184	1	2	Sur authentification Web	"/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php";"GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnectio...";"::1";"::1";"";""	0	1312	79
1314	2025-05-16T08:15:55.320	5	5184	1	2	Sur connexion Web	"/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php";"GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnectio...";"::1";"::1";"";""	0		
1315	2025-05-16T08:15:55.320	5	5184	2	1	494		0		
1316	2025-05-16T08:15:55.320	5	5184	2	1	494		0	1315	6
1317	2025-05-16T08:15:55.320	5	5184	1	2	Sur connexion Web	"/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php";"GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnectio...";"::1";"::1";"";""	0	1314	82
1318	2025-05-16T08:15:56.331	5	5184	0	8	790EB95978DCF348B3DC7B915FB38DDE	Process Web	0	1307	1013849
1319	2025-05-16T09:02:30.499	5	5185	0	8	67FA86D30BBE75498ABD9DAAEA8CDE31	Process Web	0		
1320	2025-05-16T09:02:30.500	5	5185	1	2	Compiler_Web		0		
1321	2025-05-16T09:02:30.500	5	5185	2	1	604	DAX_BinaryFile	0		
1322	2025-05-16T09:02:30.500	5	5185	2	1	604	DAX_BinaryFile	0	1321	15
1323	2025-05-16T09:02:30.500	5	5185	1	2	Compiler_Web		0	1320	150
1324	2025-05-16T09:02:30.501	5	5185	1	2	Sur authentification Web	"/solr/admin/info/system?wt=json";"GET /solr/admin/info/system?wt=json HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnection: Keep-Alive\r\nHost:...";"::1";"::1";"";""	0		
1325	2025-05-16T09:02:30.502	5	5185	1	2	Sur authentification Web	"/solr/admin/info/system?wt=json";"GET /solr/admin/info/system?wt=json HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnection: Keep-Alive\r\nHost:...";"::1";"::1";"";""	0	1324	80
1326	2025-05-16T09:02:30.502	5	5185	1	2	Sur connexion Web	"/solr/admin/info/system?wt=json";"GET /solr/admin/info/system?wt=json HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnection: Keep-Alive\r\nHost:...";"::1";"::1";"";""	0		
1327	2025-05-16T09:02:30.502	5	5185	2	1	494		0		
1328	2025-05-16T09:02:30.502	5	5185	2	1	494		0	1327	2
1329	2025-05-16T09:02:30.502	5	5185	1	2	Sur connexion Web	"/solr/admin/info/system?wt=json";"GET /solr/admin/info/system?wt=json HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnection: Keep-Alive\r\nHost:...";"::1";"::1";"";""	0	1326	69
1330	2025-05-16T09:02:31.521	5	5185	0	8	67FA86D30BBE75498ABD9DAAEA8CDE31	Process Web	0	1319	1021825
1331	2025-05-16T09:59:06.268	5	5186	0	8	01758C54B0A6754D87F673D0DBD2F7B9	Process Web	0		
1332	2025-05-16T09:59:06.269	5	5186	1	2	Compiler_Web		0		
1333	2025-05-16T09:59:06.269	5	5186	2	1	604	DAX_BinaryFile	0		
1334	2025-05-16T09:59:06.269	5	5186	2	1	604	DAX_BinaryFile	0	1333	17
1335	2025-05-16T09:59:06.269	5	5186	1	2	Compiler_Web		0	1332	164
1336	2025-05-16T09:59:06.271	5	5186	1	2	Sur authentification Web	"/console/";"GET /console/ HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnection: Keep-Alive\r\nHost: vinsurvin.vitissia.fr...";"::1";"::1";"";""	0		
1337	2025-05-16T09:59:06.271	5	5186	1	2	Sur authentification Web	"/console/";"GET /console/ HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnection: Keep-Alive\r\nHost: vinsurvin.vitissia.fr...";"::1";"::1";"";""	0	1336	87
1338	2025-05-16T09:59:06.272	5	5186	1	2	Sur connexion Web	"/console/";"GET /console/ HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnection: Keep-Alive\r\nHost: vinsurvin.vitissia.fr...";"::1";"::1";"";""	0		
1339	2025-05-16T09:59:06.272	5	5186	2	1	494		0		
1340	2025-05-16T09:59:06.272	5	5186	2	1	494		0	1339	2
1341	2025-05-16T09:59:06.272	5	5186	1	2	Sur connexion Web	"/console/";"GET /console/ HTTP/1.1\r\nAccept-Encoding: gzip\r\nConnection: Keep-Alive\r\nHost: vinsurvin.vitissia.fr...";"::1";"::1";"";""	0	1338	77
1342	2025-05-16T09:59:07.788	5	5186	0	8	01758C54B0A6754D87F673D0DBD2F7B9	Process Web	0	1331	1520022
